,BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
0,19-158077,2021-11-10 00:00:00,,2021-12-09 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,68,,prestation d'assistance aux personnes handicapées et aux personnes à mobilité réduite (pmr)
1,19-187743,2021-11-26 00:00:00,,2021-12-01 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,139,Gaz divers,CF_NIV_SUIV,False,False,75,,distribution publique de gaz
2,19-50785,2021-11-02 00:00:00,2021-11-26 16:00:00,2021-11-26 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,47,Câblage,CF_NIV_SUIV,False,False,62,,Aménagement des espaces publics au sein de la plaine du 7
3,19-50785,2021-11-02 00:00:00,2021-11-26 16:00:00,2021-11-26 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,47,Câblage,CF_NIV_SUIV,False,False,59,,Aménagement des espaces publics au sein de la plaine du 7
4,19-50785,2021-11-02 00:00:00,2021-11-26 16:00:00,2021-11-26 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,49,Candélabre,CF_NIV_SUIV,False,False,62,,Aménagement des espaces publics au sein de la plaine du 7
5,19-50785,2021-11-02 00:00:00,2021-11-26 16:00:00,2021-11-26 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,49,Candélabre,CF_NIV_SUIV,False,False,59,,Aménagement des espaces publics au sein de la plaine du 7
6,19-50785,2021-11-02 00:00:00,2021-11-26 16:00:00,2021-11-26 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,116,Espaces verts,CF_NIV_SUIV,False,False,62,,Aménagement des espaces publics au sein de la plaine du 7
7,19-50785,2021-11-02 00:00:00,2021-11-26 16:00:00,2021-11-26 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,116,Espaces verts,CF_NIV_SUIV,False,False,59,,Aménagement des espaces publics au sein de la plaine du 7
8,19-50785,2021-11-02 00:00:00,2021-11-26 16:00:00,2021-11-26 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,175,"Jeux, jouets",CF_NIV_SUIV,False,False,62,,Aménagement des espaces publics au sein de la plaine du 7
9,19-50785,2021-11-02 00:00:00,2021-11-26 16:00:00,2021-11-26 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,175,"Jeux, jouets",CF_NIV_SUIV,False,False,59,,Aménagement des espaces publics au sein de la plaine du 7
