BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
18-111639,False,False,True,False,False,False,
19-138840,True,False,False,False,False,False,
20-105937,False,False,True,False,False,False,
20-114622,True,False,False,False,False,False,
20-117134,False,False,True,False,False,False,
20-117935,True,False,False,False,False,False,
20-119688,False,False,False,False,True,False,
20-123123,False,False,True,False,False,False,
20-124569,True,False,False,False,False,False,
20-126238,False,False,False,True,False,False,
20-135729,False,False,False,False,True,False,
20-137108,False,False,True,False,False,False,
20-138546,False,False,False,False,False,False,Organisme de droit privé de la MSA
20-138556,True,False,False,False,False,False,
20-139239,False,False,True,False,False,False,
20-139528,False,False,False,False,True,False,
20-139556,False,False,False,False,True,False,
20-140025,True,False,False,False,False,False,
20-140222,False,False,False,False,False,False,Organisme de droit privé de la MSA
21-12751,False,False,True,False,False,False,
20-142373,True,False,False,False,False,False,
20-143081,False,False,True,False,False,False,
20-143265,False,False,True,False,False,False,
20-143588,False,False,True,False,False,False,
20-143758,False,False,True,False,False,False,
20-144268,False,False,False,False,False,False,Collectivité territoriale
20-144397,False,False,False,False,False,False,EPS
20-146528,True,False,False,False,False,False,
20-146531,True,False,False,False,False,False,
20-146730,False,False,True,False,False,False,
20-147111,True,False,False,False,False,False,
20-148446,False,False,False,False,True,False,
20-148497,False,False,True,False,False,False,
20-148507,False,False,False,False,True,False,
20-149102,False,False,True,False,False,False,
20-149140,False,False,False,False,False,False,collectivité territoriale de la Martinique
20-149233,False,False,True,False,False,False,
20-149323,False,False,True,False,False,False,
20-149438,False,False,True,False,False,False,
20-149446,False,False,False,False,False,False,Etablissement de santé
20-150629,True,False,False,False,False,False,
20-151585,False,False,False,False,False,False,GIP
20-151661,True,False,False,False,False,False,
