BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
20-113566,False,False,False,False,False,False,Etablissement public de santé
20-113622,False,False,False,False,False,False,Etablissement public de santé
20-113651,False,False,False,False,False,False,Etablissement public de santé
20-113681,False,False,False,False,False,False,Etablissement public de santé
20-113692,False,False,False,False,False,False,Etablissement public de santé
20-113695,False,False,False,False,False,False,Etablissement public de santé
20-159271,False,False,False,False,True,False,
20-25061,False,False,True,False,False,False,
20-37660,False,False,False,False,True,False,
20-74851,True,False,False,False,False,False,
21-11851,False,False,False,False,True,False,
21-12514,False,False,False,False,False,False,SDIS
21-13100,False,False,False,False,False,False,EPCI
21-13579,False,False,False,False,False,False,EPCI
21-14587,False,False,True,False,False,False,
21-15414,True,False,False,False,False,False,
21-17619,False,False,True,False,False,False,
21-18362,False,False,True,False,False,False,
21-1939,False,False,False,False,False,False,Etablissement public de santé
21-21740,False,False,True,False,False,False,
21-23009,False,False,False,False,True,False,
21-40494,False,False,True,False,False,False,
21-40568,False,False,True,False,False,False,
21-41135,False,False,False,False,False,False,EPS
21-43173,True,False,False,False,False,False,
21-43833,False,False,False,False,True,False,
21-45022,False,False,False,False,False,False,EPS
21-46648,False,False,True,False,False,False,
21-46818,False,False,True,False,False,False,
21-46875,False,False,True,False,False,False,
21-47492,False,False,False,False,False,False,établissement public de santé
21-49271,True,False,False,False,False,False,
21-49485,True,False,False,False,False,False,
21-50502,False,False,True,False,False,False,
21-50648,False,False,False,True,False,False,
21-51068,False,False,True,False,False,False,
21-52001,False,False,False,False,False,False,collectivité territoriale
21-52055,True,False,False,False,False,False,
21-53513,True,False,False,False,False,False,
21-53618,False,False,True,False,False,False,
21-54795,False,False,False,False,True,False,
21-54805,False,False,False,False,True,False,
21-54862,False,False,False,False,True,False,
21-54968,False,False,True,False,False,False,
21-55594,False,False,True,False,False,False,
21-55906,False,False,False,False,False,False,Etablissement de santé
21-55995,True,False,False,False,False,False,
21-56197,False,False,True,False,False,False,
21-56204,False,False,True,False,False,False,
21-56214,False,False,False,False,True,False,
21-57021,False,False,True,False,False,False,
21-57108,False,False,True,False,False,False,
21-57279,False,False,True,False,False,False,
21-57545,False,False,False,False,False,False,Collectivité territoriale à statut particulier
21-57704,False,False,False,False,True,False,
21-57759,False,False,True,False,False,False,
21-58117,False,False,True,False,False,False,
21-58135,False,False,True,False,False,False,
21-58139,True,False,False,False,False,False,
21-59046,False,False,True,False,False,False,
21-59305,False,False,True,False,False,False,
21-59409,False,False,True,False,False,False,
21-59734,False,False,False,True,False,False,
21-59776,True,False,False,False,False,False,
21-60010,False,False,False,False,False,False,EPS
21-60155,False,False,True,False,False,False,
21-61552,False,False,False,False,True,False,
21-61877,False,False,True,False,False,False,
21-61909,False,False,True,False,False,False,
21-61941,False,False,True,False,False,False,
21-62025,False,False,False,False,True,False,
21-62302,False,False,True,False,False,False,
21-62743,False,False,False,False,False,False,Etablissement public de santé
21-62952,False,False,False,False,False,False,Etablissement de santé
21-63224,False,False,True,False,False,False,
21-63226,True,False,False,False,False,False,
21-63638,False,False,True,False,False,False,
21-64224,False,False,True,False,False,False,
21-64358,False,False,True,False,False,False,
21-64496,True,False,False,False,False,False,
21-64622,False,False,False,False,False,False,Caisse de Retraite
21-64640,False,False,True,False,False,False,
21-64724,False,False,True,False,False,False,
21-64821,False,False,True,False,False,False,
21-65147,False,False,False,True,False,False,
21-65227,False,False,False,False,True,False,
21-65613,False,False,True,False,False,False,
21-65630,False,False,False,False,False,False,Centre Communal d'Action Social
21-65655,False,False,False,False,False,False,Etablissement de santé
21-65678,True,False,False,False,False,False,
21-65853,False,False,True,False,False,False,
21-65904,False,False,False,False,False,False,Etablissement de santé
21-65965,False,False,True,False,False,False,
21-66007,False,False,True,False,False,False,
21-66016,False,False,True,False,False,False,
21-66201,False,False,True,False,False,False,
21-66390,False,False,False,False,True,False,
21-66550,False,False,False,False,False,False,CHU
21-66724,True,False,False,False,False,False,
21-66744,True,False,False,False,False,False,
21-66838,False,False,False,False,False,False,SPL
21-67110,False,False,True,False,False,False,
21-67156,False,False,True,False,False,False,
