BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
21-151073,2021-11-17 00:00:00,,2022-02-12 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,405,Déchetterie (exploitation),CF_NIV_SUIV,False,False,24,,Reprise De La Fraction Fine Issue Des Dechets Verts Des Decheteries
21-151074,2021-11-17 00:00:00,,2022-01-16 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,264,Peinture (travaux),CF_NIV_SUIV,False,False,71,,Travaux d'entretien dans les bâtiments communaux - Plâtrerie peinture
21-151074,2021-11-17 00:00:00,,2022-01-16 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,269,Plâtrerie,CF_NIV_SUIV,False,False,71,,Travaux d'entretien dans les bâtiments communaux - Plâtrerie peinture
21-151075,2021-11-15 00:00:00,,2021-12-06 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,430,Aire d'accueil,CF_NIV_SUIV,False,False,59,,La présente consultation relève d'une Procédure Adaptée qui concerne les travaux de réhabilitation lourde de l'aire d'accueil des gens du voyage au territoire de la Commune de CAUDRY.
21-151076,2021-11-15 00:00:00,,2021-11-30 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,False,971,,amélioration du système de protection incendie eau du terminal de jarry - soutage (rectificatif)
21-151078,2021-11-17 00:00:00,,2021-12-27 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,197,Maîtrise d'oeuvre,CF_NIV_SUIV,False,False,81,,"Marché de Maîtrise d oeuvre pour l extension / restructuration du bâtiment central de l EHPAD "" La Renaudié "" à ALBI (81)."
21-151080,2021-11-15 00:00:00,,2021-12-15 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,64,Clôture,CF_NIV_SUIV,False,False,74,,"Travaux de réfection des clôtures du terrain synthétique de football américain et du terrain de rugby honneur avec fourniture et pose d'un pare-ballon, fourniture et pose de clôture sur des terra"
21-151081,2021-11-15 00:00:00,2021-12-13 12:00:00,2021-12-13 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,63,"Cloison, faux plafond",CF_NIV_SUIV,False,False,86,,Travaux pour l'aménagement de l'école de la 2ème chance
21-151081,2021-11-15 00:00:00,2021-12-13 12:00:00,2021-12-13 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,105,Electricité (travaux),CF_NIV_SUIV,False,False,86,,Travaux pour l'aménagement de l'école de la 2ème chance
21-151081,2021-11-15 00:00:00,2021-12-13 12:00:00,2021-12-13 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,222,Menuiserie,CF_NIV_SUIV,False,False,86,,Travaux pour l'aménagement de l'école de la 2ème chance
21-151081,2021-11-15 00:00:00,2021-12-13 12:00:00,2021-12-13 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,264,Peinture (travaux),CF_NIV_SUIV,False,False,86,,Travaux pour l'aménagement de l'école de la 2ème chance
21-151081,2021-11-15 00:00:00,2021-12-13 12:00:00,2021-12-13 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,269,Plâtrerie,CF_NIV_SUIV,False,False,86,,Travaux pour l'aménagement de l'école de la 2ème chance
21-151081,2021-11-15 00:00:00,2021-12-13 12:00:00,2021-12-13 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,308,Revêtements de sols,CF_NIV_SUIV,False,False,86,,Travaux pour l'aménagement de l'école de la 2ème chance
21-151081,2021-11-15 00:00:00,2021-12-13 12:00:00,2021-12-13 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,360,Ventilation,CF_NIV_SUIV,False,False,86,,Travaux pour l'aménagement de l'école de la 2ème chance
21-151082,2021-11-15 00:00:00,,2021-12-02 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,254,Ouvrage métallique,CF_NIV_SUIV,False,True,82,,Montauban (82) camp de Caylus. Construction d'un bâtiment de type hangar métallique
21-151083,2021-11-15 00:00:00,2021-12-14 12:00:00,2021-12-14 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,345,Tous corps d'état,CF_NIV_SUIV,False,False,88,,Réhabilitation thermique du groupe Muller-.
21-151084,2021-11-15 00:00:00,,2021-12-16 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,141,Génie civil,CF_NIV_SUIV,True,False,83,,Base navale de Toulon - Déplacement de la grue 04B au Quai Isabelle - Marché de travaux pour la réhabilitation de la voie de grue et l'aménagement électrique
21-151085,2021-11-17 00:00:00,,2022-02-15 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,443,"Electricité, gaz (fourniture)",CF_NIV_SUIV,False,False,57,,FOURNITURE ET ACHEMINEMENT D'ELECTRICITE POUR LES INSTALLATIONS ET SITES DU SYDEME
21-151086,2021-11-17 00:00:00,,2021-12-21 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,360,Ventilation,CF_NIV_SUIV,False,False,85,,ACORD-CADRE A BONS DE COMMANDE CONCERNANT LA MAINTENANCE PREVENTIVE ET CORRECTIVE DES VMC DES LOGEMENTS INDIVIDUELS ET COLLECTIFS POUR LES MEMBRES DU GROUPEMENT POUR LES ANNEES 2022-2025
21-151087,2021-11-15 00:00:00,2021-12-13 12:00:00,2021-12-13 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,33,Bâtiment,CF_NIV_SUIV,False,False,20B,,maitrise d'ouvre à la création d'une école à Moncale
21-151089,2021-11-17 00:00:00,,2022-01-19 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,212,Matériel médical,CF_NIV_SUIV,False,False,69,,E21_1643
21-151090,2021-11-15 00:00:00,,2022-01-17 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,406,Délégation de service public,CF_NIV_SUIV,False,False,20B,,Convention de délégation de service public (DSP) pour la gestion et l'exploitation des deux crèches municipales et de l'accueil périscolaire et extrascolaire
21-151092,2021-11-21 00:00:00,,2022-01-19 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,74,Couverture,CF_NIV_SUIV,False,False,33,,"PRESTATIONS DE SERVICES POUR LE NETTOYAGE, L'ENTRETIEN ET LA MAINTENANCE DES TOITURES DES BATIMENTS MUNICIPAUX DE LA VILLE DE BLANQUEFORT 2021-BLA043-045"
